# Format: x y z roll pitch yaw gripper
# Combined position and orientation movements to test robot control
# Increased position movements while keeping rotations subtle

# Basic single axis movements
0.04 0 0 0 0 0 0
-0.04 0 0 0 0 0 0
0 0.04 0 0 0 0 0
0 -0.04 0 0 0 0 0
0 0 0.04 0 0 0 0
0 0 -0.04 0 0 0 0

# Faster diagonal movements - XY plane
0.035 0.035 0 0 0 0 0
-0.035 0.035 0 0 0 0 0
-0.035 -0.035 0 0 0 0 0
0.035 -0.035 0 0 0 0 0

# Quick diagonal movements - XZ plane
0.035 0 0.035 0 0 0 0
-0.035 0 0.035 0 0 0 0
-0.035 0 -0.035 0 0 0 0
0.035 0 -0.035 0 0 0 0

# Fast diagonal movements - YZ plane
0 0.035 0.035 0 0 0 0
0 -0.035 0.035 0 0 0 0
0 -0.035 -0.035 0 0 0 0
0 0.035 -0.035 0 0 0 0

# Single axis rotations with position
0.04 0 0 0.1 0 0 0
-0.04 0 0 -0.1 0 0 0
0 0.04 0 0 0.1 0 0
0 -0.04 0 0 -0.1 0 0
0 0 0.04 0 0 0.1 0
0 0 -0.04 0 0 -0.1 0

# Larger circular motion with slight tilt
0.04 0.04 0 0.05 0 0 0
0 0.045 0 0 0.05 0 0
-0.04 0.04 0 0 0 0.05 0
-0.045 0 0 0.05 0.05 0 0
-0.04 -0.04 0 0 0.05 0 0
0 -0.045 0 0 0 0.05 0
0.04 -0.04 0 0.05 0.05 0.05 0

# Quick spiral up with gentle rotation
0.035 0.035 0.01 0.05 0 0 0
0 0.045 0.02 0 0.05 0 0
-0.035 0.035 0.03 0 0 0.05 0
-0.045 0 0.035 0.05 0.05 0 0
-0.035 -0.035 0.03 0 0.05 0 0
0 -0.045 0.02 0 0 0.05 0
0.035 -0.035 0.01 0.05 0.05 0.05 0

# Fast box pattern with rotation
0.04 0.04 0 0.05 0 0 0
0.04 -0.04 0 0 0.05 0 0
-0.04 -0.04 0 0 0 0.05 0
-0.04 0.04 0 0.05 0.05 0 0
0.04 0.04 0.03 0 0.05 0 0
0.04 -0.04 0.03 0 0 0.05 0
-0.04 -0.04 0.03 0.05 0 0 0
-0.04 0.04 0.03 0 0.05 0.05 0

# Quick wave patterns
0.035 0 0.035 0.05 0 0 0
0.02 0 0.04 0 0.05 0 0
0 0 0.045 0 0 0.05 0
-0.02 0 0.04 0.05 0 0 0
-0.035 0 0.035 0 0.05 0 0
-0.02 0 0.02 0 0 0.05 0
0 0 0 0.05 0.05 0 0

# Fast figure-8 pattern with subtle rotations
0.04 0.025 0 0.05 0 0 0
0.035 0 0 0 0.05 0 0
0.04 -0.025 0 0 0 0.05 0
0 -0.04 0 0.05 0.05 0 0
-0.04 -0.025 0 0 0.05 0 0
-0.035 0 0 0 0 0.05 0
-0.04 0.025 0 0.05 0 0 0
0 0.04 0 0 0.05 0.05 0

# Quick pyramidal movement
0 0 0 0 0 0 0
0.035 0.035 0 0.05 0 0 0
0 0.04 0.035 0 0.05 0 0
-0.035 0.035 0 0 0 0.05 0
-0.035 -0.035 0.035 0.05 0.05 0 0
0 -0.04 0 0 0.05 0 0
0.035 -0.035 0.035 0 0 0.05 0

# Fast spiral down
0 0 0.045 0.05 0.05 0 0
0.035 0.035 0.035 0 0 0.05 0
0.04 0 0.025 0.05 0 0 0
0.035 -0.035 0.015 0 0.05 0 0
0 -0.04 0 0 0 0.05 0
-0.035 -0.035 0 0.05 0.05 0.05 0

# Quick return to center with slight adjustments
0.02 0.02 0.02 0.02 0.02 0.02 0
-0.02 -0.02 -0.02 -0.02 -0.02 -0.02 0
0 0 0 0 0 0 0
